			Lead Left	Lead Right
-------------------------------------------
DIPS
165.	 107.7 	 C1 - 2.0 mA	 C0 - 4.5 mA 	 (0.96 / 0.30) 
166.	 107.4 	 C2 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
167.	 107.3 	 C1 - 4.0 mA	 C0 - 4.5 mA 	 (0.87 / 0.30) 
168.	 107.2 	 C1 - 3.0 mA	 C0 - 4.5 mA 	 (0.91 / 0.30) 
169.	 107.0 	 C3 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.31) 
170.	 107.0 	 C2 - 4.5 mA	 C1 - 3.0 mA 	 (1.00 / 0.65) 
171.	 107.0 	 C3 - 4.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
172.	 106.9 	 C3 - 4.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
173.	 106.8 	 C1 - 3.5 mA	 C0 - 4.5 mA 	 (0.89 / 0.30) 
174.	 106.7 	 C1 - 2.0 mA	 C0 - 1.5 mA 	 (0.96 / 0.29) 
175.	 106.6 	 C2 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.31) 
176.	 106.6 	 C3 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.31) 
177.	 106.4 	 C3 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
178.	 106.2 	 C1 - 2.5 mA	 C0 - 1.5 mA 	 (0.94 / 0.29) 
179.	 106.1 	 C1 - 5.5 mA	 C0 - 5.0 mA 	 (0.82 / 0.31) 
180.	 106.0 	 C1 - 1.5 mA	 C0 - 4.0 mA 	 (0.98 / 0.30) 
181.	 106.0 	 C1 - 5.5 mA	 C0 - 1.5 mA 	 (0.82 / 0.29) 
182.	 105.7 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.31) 
183.	 105.5 	 C2 - 4.5 mA	 C1 - 5.5 mA 	 (1.00 / 0.58) 
184.	 105.5 	 C1 - 5.0 mA	 C0 - 5.0 mA 	 (0.84 / 0.31) 
185.	 105.4 	 C1 - 5.0 mA	 C0 - 1.5 mA 	 (0.84 / 0.29) 
186.	 105.4 	 C1 - 4.5 mA	 C0 - 1.5 mA 	 (0.85 / 0.29) 
187.	 105.3 	 C1 - 4.5 mA	 C0 - 5.0 mA 	 (0.85 / 0.31) 
188.	 105.2 	 C2 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
189.	 105.1 	 C2 - 4.5 mA	 C1 - 5.0 mA 	 (1.00 / 0.59) 
190.	 105.1 	 C1 - 5.5 mA	 C3 - 1.5 mA 	 (0.82 / 0.99) 
191.	 105.1 	 C1 - 3.0 mA	 C0 - 1.5 mA 	 (0.91 / 0.29) 
192.	 104.9 	 C3 - 4.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
193.	 104.9 	 C1 - 4.0 mA	 C0 - 1.5 mA 	 (0.87 / 0.29) 
194.	 104.8 	 C1 - 5.5 mA	 C0 - 5.5 mA 	 (0.82 / 0.31) 
195.	 104.8 	 C3 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
196.	 104.7 	 C1 - 4.0 mA	 C0 - 5.0 mA 	 (0.87 / 0.31) 
197.	 104.7 	 C2 - 4.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
198.	 104.6 	 C3 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
199.	 104.5 	 C2 - 4.5 mA	 C1 - 3.5 mA 	 (1.00 / 0.63) 
200.	 104.4 	 C1 - 3.5 mA	 C0 - 1.5 mA 	 (0.89 / 0.29) 
201.	 104.4 	 C2 - 4.5 mA	 C1 - 4.5 mA 	 (1.00 / 0.60) 
202.	 104.4 	 C3 - 3.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
203.	 104.2 	 C2 - 4.5 mA	 C1 - 4.0 mA 	 (1.00 / 0.61) 
204.	 104.2 	 C1 - 5.0 mA	 C0 - 5.5 mA 	 (0.84 / 0.31) 
205.	 104.1 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (0.94 / 0.31) 
206.	 104.0 	 C1 - 1.5 mA	 C0 - 4.5 mA 	 (0.98 / 0.30) 
207.	 104.0 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (0.91 / 0.31) 
208.	 104.0 	 C1 - 3.5 mA	 C0 - 5.0 mA 	 (0.89 / 0.31) 
209.	 104.0 	 C2 - 4.0 mA	 C1 - 2.0 mA 	 (1.00 / 0.69) 
210.	 103.9 	 C1 - 4.5 mA	 C0 - 5.5 mA 	 (0.85 / 0.31) 
211.	 103.8 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (0.51 / 0.30) 
212.	 103.7 	 C1 - 5.0 mA	 C3 - 1.5 mA 	 (0.84 / 0.99) 
213.	 103.6 	 C0 - 5.0 mA	 C0 - 3.5 mA 	 (0.51 / 0.30) 
214.	 103.4 	 C3 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
215.	 103.3 	 C0 - 5.0 mA	 C0 - 3.0 mA 	 (0.51 / 0.30) 
216.	 103.3 	 C1 - 4.0 mA	 C0 - 5.5 mA 	 (0.87 / 0.31) 
217.	 103.2 	 C3 - 4.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
218.	 103.2 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (0.96 / 0.31) 
219.	 103.1 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (0.51 / 0.30) 
220.	 103.0 	 C0 - 5.5 mA	 C0 - 3.5 mA 	 (0.51 / 0.30) 
221.	 102.8 	 C1 - 4.5 mA	 C3 - 1.5 mA 	 (0.85 / 0.99) 
222.	 102.7 	 C3 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.31) 
223.	 102.7 	 C0 - 5.5 mA	 C0 - 3.0 mA 	 (0.51 / 0.30) 
224.	 102.5 	 C0 - 4.5 mA	 C0 - 2.5 mA 	 (0.51 / 0.30) 
225.	 102.5 	 C0 - 4.0 mA	 C0 - 2.5 mA 	 (0.52 / 0.30) 
226.	 102.5 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.98 / 0.29) 
227.	 102.4 	 C1 - 3.5 mA	 C0 - 5.5 mA 	 (0.89 / 0.31) 
228.	 102.4 	 C0 - 4.5 mA	 C0 - 3.5 mA 	 (0.51 / 0.30) 
229.	 102.4 	 C2 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.31) 
230.	 102.4 	 C0 - 4.0 mA	 C0 - 3.5 mA 	 (0.52 / 0.30) 
231.	 102.3 	 C3 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.31) 
232.	 102.2 	 C1 - 3.0 mA	 C0 - 5.5 mA 	 (0.91 / 0.31) 
233.	 102.2 	 C0 - 3.5 mA	 C0 - 2.5 mA 	 (0.53 / 0.30) 
234.	 102.1 	 C0 - 3.5 mA	 C0 - 3.5 mA 	 (0.53 / 0.30) 
235.	 102.1 	 C0 - 4.5 mA	 C0 - 3.0 mA 	 (0.51 / 0.30) 
236.	 102.1 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (0.94 / 0.31) 
237.	 102.0 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (0.51 / 0.30) 
238.	 102.0 	 C0 - 4.0 mA	 C0 - 3.0 mA 	 (0.52 / 0.30) 
239.	 101.9 	 C0 - 1.5 mA	 C0 - 2.5 mA 	 (0.63 / 0.30) 
240.	 101.9 	 C0 - 1.5 mA	 C0 - 3.5 mA 	 (0.63 / 0.30) 
241.	 101.7 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (0.51 / 0.29) 
242.	 101.7 	 C0 - 3.5 mA	 C0 - 3.0 mA 	 (0.53 / 0.30) 
243.	 101.6 	 C2 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.31) 
244.	 101.6 	 C3 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
245.	 101.5 	 C0 - 5.5 mA	 C0 - 4.0 mA 	 (0.51 / 0.30) 
246.	 101.5 	 C1 - 4.0 mA	 C3 - 1.5 mA 	 (0.87 / 0.99) 
247.	 101.4 	 C3 - 4.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.31) 
248.	 101.2 	 C0 - 1.5 mA	 C0 - 3.0 mA 	 (0.63 / 0.30) 
249.	 101.2 	 C0 - 5.0 mA	 C0 - 4.5 mA 	 (0.51 / 0.30) 
250.	 101.1 	 C0 - 5.5 mA	 C0 - 2.0 mA 	 (0.51 / 0.29) 
251.	 101.1 	 C3 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
252.	 101.0 	 C3 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
253.	 100.9 	 C0 - 4.5 mA	 C0 - 4.0 mA 	 (0.51 / 0.30) 
254.	 100.8 	 C0 - 3.0 mA	 C0 - 3.5 mA 	 (0.55 / 0.30) 
