			3387-Left	3387-Right
-------------------------------------------
DIPS
222.	 80.1 	 C0 - 4.5 mA	 C1 - 4.0 mA 	 (0.99 / 0.63) 
223.	 80.1 	 C0 - 4.5 mA	 C1 - 4.5 mA 	 (0.99 / 0.63) 
224.	 80.1 	 C0 - 4.0 mA	 C1 - 4.0 mA 	 (1.00 / 0.63) 
225.	 80.1 	 C0 - 4.0 mA	 C1 - 4.5 mA 	 (1.00 / 0.63) 
226.	 80.1 	 C0 - 5.5 mA	 C1 - 3.5 mA 	 (0.98 / 0.65) 
227.	 80.0 	 C0 - 5.0 mA	 C1 - 3.5 mA 	 (0.98 / 0.65) 
228.	 80.0 	 C1 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.28) 
229.	 79.9 	 C0 - 5.5 mA	 C1 - 3.0 mA 	 (0.98 / 0.67) 
230.	 79.9 	 C0 - 5.0 mA	 C1 - 3.0 mA 	 (0.98 / 0.67) 
231.	 79.9 	 C0 - 3.5 mA	 C1 - 5.0 mA 	 (1.00 / 0.61) 
232.	 79.9 	 C0 - 4.5 mA	 C1 - 5.0 mA 	 (0.99 / 0.61) 
233.	 79.8 	 C0 - 3.5 mA	 C1 - 5.5 mA 	 (1.00 / 0.60) 
234.	 79.8 	 C0 - 3.0 mA	 C1 - 4.5 mA 	 (1.00 / 0.63) 
235.	 79.8 	 C0 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 0.63) 
236.	 79.8 	 C0 - 4.5 mA	 C1 - 5.5 mA 	 (0.99 / 0.60) 
237.	 79.8 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
238.	 79.8 	 C0 - 4.0 mA	 C1 - 5.0 mA 	 (1.00 / 0.61) 
239.	 79.7 	 C0 - 4.0 mA	 C1 - 5.5 mA 	 (1.00 / 0.60) 
240.	 79.7 	 C1 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
241.	 79.7 	 C0 - 5.5 mA	 C1 - 2.5 mA 	 (0.98 / 0.71) 
242.	 79.7 	 C0 - 5.0 mA	 C1 - 2.5 mA 	 (0.98 / 0.71) 
243.	 79.7 	 C2 - 2.0 mA	 C0 - 1.5 mA 	 (0.94 / 0.23) 
244.	 79.5 	 C0 - 3.0 mA	 C1 - 5.0 mA 	 (1.00 / 0.61) 
245.	 79.5 	 C2 - 4.0 mA	 C0 - 3.5 mA 	 (0.80 / 0.28) 
246.	 79.5 	 C3 - 2.5 mA	 C1 - 4.5 mA 	 (0.27 / 0.63) 
247.	 79.5 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
248.	 79.5 	 C0 - 3.0 mA	 C1 - 5.5 mA 	 (1.00 / 0.60) 
249.	 79.5 	 C0 - 3.5 mA	 C1 - 3.5 mA 	 (1.00 / 0.65) 
250.	 79.4 	 C3 - 2.5 mA	 C1 - 4.0 mA 	 (0.27 / 0.63) 
251.	 79.4 	 C0 - 5.5 mA	 C1 - 2.0 mA 	 (0.98 / 0.74) 
252.	 79.4 	 C1 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.27) 
253.	 79.4 	 C0 - 4.5 mA	 C1 - 3.5 mA 	 (0.99 / 0.65) 
254.	 79.4 	 C3 - 5.5 mA	 C0 - 2.5 mA 	 (0.31 / 0.25) 
255.	 79.4 	 C0 - 5.0 mA	 C1 - 2.0 mA 	 (0.98 / 0.74) 
256.	 79.3 	 C2 - 4.0 mA	 C0 - 4.0 mA 	 (0.80 / 0.28) 
257.	 79.3 	 C0 - 4.0 mA	 C1 - 3.5 mA 	 (1.00 / 0.65) 
