			3387-Left	3387-Right
-------------------------------------------
DIPS
169.	 82.5 	 C1 - 3.0 mA	 C2 - 2.5 mA 	 (0.98 / 1.00) 
170.	 82.5 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (0.99 / 0.53) 
171.	 82.5 	 C1 - 4.5 mA	 C1 - 3.0 mA 	 (0.95 / 1.00) 
172.	 82.4 	 C0 - 4.0 mA	 C1 - 4.5 mA 	 (0.78 / 0.99) 
173.	 82.4 	 C1 - 2.5 mA	 C0 - 4.5 mA 	 (0.99 / 0.55) 
174.	 82.3 	 C0 - 4.5 mA	 C1 - 4.0 mA 	 (0.77 / 0.99) 
175.	 82.3 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (0.99 / 0.52) 
176.	 82.3 	 C0 - 2.5 mA	 C2 - 4.0 mA 	 (0.84 / 1.00) 
177.	 82.2 	 C1 - 2.5 mA	 C0 - 4.0 mA 	 (0.99 / 0.56) 
178.	 82.2 	 C0 - 4.0 mA	 C2 - 5.0 mA 	 (0.78 / 1.00) 
179.	 82.1 	 C1 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.61) 
180.	 81.9 	 C1 - 2.5 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
181.	 81.9 	 C1 - 3.0 mA	 C2 - 3.0 mA 	 (0.98 / 1.00) 
182.	 81.9 	 C0 - 4.5 mA	 C1 - 3.5 mA 	 (0.77 / 1.00) 
183.	 81.8 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (0.98 / 0.53) 
184.	 81.7 	 C0 - 1.5 mA	 C2 - 3.0 mA 	 (0.90 / 1.00) 
185.	 81.7 	 C1 - 2.5 mA	 C0 - 3.5 mA 	 (0.99 / 0.58) 
186.	 81.7 	 C1 - 3.0 mA	 C0 - 5.5 mA 	 (0.98 / 0.52) 
187.	 81.6 	 C0 - 1.5 mA	 C0 - 5.0 mA 	 (0.90 / 0.53) 
188.	 81.6 	 C1 - 3.0 mA	 C0 - 4.5 mA 	 (0.98 / 0.55) 
189.	 81.6 	 C1 - 5.0 mA	 C1 - 4.0 mA 	 (0.93 / 0.99) 
190.	 81.5 	 C0 - 1.5 mA	 C0 - 4.5 mA 	 (0.90 / 0.55) 
191.	 81.5 	 C2 - 1.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
192.	 81.4 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (0.98 / 0.56) 
193.	 81.4 	 C0 - 4.5 mA	 C1 - 4.5 mA 	 (0.77 / 0.99) 
194.	 81.4 	 C1 - 3.5 mA	 C2 - 4.5 mA 	 (0.97 / 1.00) 
195.	 81.4 	 C0 - 1.5 mA	 C0 - 4.0 mA 	 (0.90 / 0.56) 
196.	 81.3 	 C0 - 1.5 mA	 C0 - 5.5 mA 	 (0.90 / 0.52) 
197.	 81.3 	 C0 - 2.0 mA	 C2 - 3.5 mA 	 (0.86 / 1.00) 
198.	 81.2 	 C0 - 2.0 mA	 C2 - 2.5 mA 	 (0.86 / 1.00) 
199.	 81.1 	 C0 - 4.5 mA	 C2 - 5.0 mA 	 (0.77 / 1.00) 
200.	 81.1 	 C1 - 4.5 mA	 C2 - 5.0 mA 	 (0.95 / 1.00) 
201.	 81.1 	 C0 - 2.0 mA	 C1 - 1.5 mA 	 (0.86 / 1.00) 
202.	 81.0 	 C0 - 4.0 mA	 C1 - 5.0 mA 	 (0.78 / 0.97) 
203.	 81.0 	 C1 - 3.0 mA	 C1 - 1.5 mA 	 (0.98 / 1.00) 
204.	 81.0 	 C0 - 5.0 mA	 C2 - 5.5 mA 	 (0.76 / 1.00) 
205.	 80.8 	 C1 - 5.0 mA	 C1 - 4.5 mA 	 (0.93 / 0.99) 
206.	 80.8 	 C1 - 3.0 mA	 C0 - 3.5 mA 	 (0.98 / 0.58) 
207.	 80.8 	 C0 - 1.5 mA	 C0 - 3.5 mA 	 (0.90 / 0.58) 
208.	 80.8 	 C0 - 5.5 mA	 C2 - 5.5 mA 	 (0.75 / 1.00) 
209.	 80.7 	 C1 - 5.0 mA	 C1 - 3.5 mA 	 (0.93 / 1.00) 
210.	 80.7 	 C0 - 4.0 mA	 C1 - 5.5 mA 	 (0.78 / 0.96) 
211.	 80.5 	 C0 - 4.0 mA	 C1 - 3.0 mA 	 (0.78 / 1.00) 
