			Lead Left	Lead Right
-------------------------------------------
DIPS
258.	 76.1 	 C1 - 3.5 mA	 C2 - 3.0 mA 	 (0.93 / 0.92) 
259.	 76.1 	 C1 - 4.5 mA	 C1 - 2.5 mA 	 (0.89 / 1.00) 
260.	 76.1 	 C0 - 5.5 mA	 C2 - 4.0 mA 	 (0.58 / 0.86) 
261.	 76.0 	 C0 - 1.5 mA	 C3 - 3.0 mA 	 (0.73 / 0.64) 
262.	 76.0 	 C0 - 3.5 mA	 C0 - 2.5 mA 	 (0.63 / 1.00) 
263.	 76.0 	 C1 - 5.0 mA	 C2 - 4.0 mA 	 (0.87 / 0.86) 
264.	 75.9 	 C0 - 3.5 mA	 C0 - 5.0 mA 	 (0.63 / 0.95) 
265.	 75.9 	 C2 - 5.5 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
266.	 75.9 	 C1 - 3.0 mA	 C1 - 2.0 mA 	 (0.95 / 1.00) 
267.	 75.9 	 C0 - 1.5 mA	 C0 - 5.5 mA 	 (0.73 / 0.94) 
268.	 75.9 	 C1 - 4.0 mA	 C0 - 5.5 mA 	 (0.90 / 0.94) 
269.	 75.8 	 C0 - 5.0 mA	 C2 - 4.0 mA 	 (0.59 / 0.86) 
270.	 75.7 	 C1 - 4.0 mA	 C1 - 2.5 mA 	 (0.90 / 1.00) 
271.	 75.7 	 C0 - 1.5 mA	 C1 - 2.5 mA 	 (0.73 / 1.00) 
272.	 75.7 	 C1 - 3.5 mA	 C3 - 2.5 mA 	 (0.93 / 0.67) 
273.	 75.7 	 C1 - 3.5 mA	 C0 - 2.0 mA 	 (0.93 / 1.00) 
274.	 75.7 	 C0 - 4.5 mA	 C2 - 4.0 mA 	 (0.60 / 0.86) 
275.	 75.7 	 C0 - 4.0 mA	 C2 - 4.0 mA 	 (0.61 / 0.86) 
