			Lead Left	Lead Right
-------------------------------------------
DIPS
172.	 95.4 	 C2 - 4.5 mA	 C1 - 4.5 mA 	 (0.84 / 0.15) 
173.	 95.4 	 C2 - 2.0 mA	 C0 - 3.0 mA 	 (0.96 / 0.00) 
174.	 95.4 	 C1 - 4.0 mA	 C2 - 3.5 mA 	 (0.52 / 0.39) 
175.	 95.4 	 C2 - 5.0 mA	 C1 - 4.0 mA 	 (0.81 / 0.14) 
176.	 95.4 	 C2 - 4.0 mA	 C3 - 2.5 mA 	 (0.86 / 0.67) 
177.	 95.4 	 C2 - 3.5 mA	 C1 - 5.0 mA 	 (0.88 / 0.17) 
178.	 95.3 	 C2 - 2.5 mA	 C0 - 3.5 mA 	 (0.93 / 0.01) 
179.	 95.2 	 C1 - 4.0 mA	 C3 - 5.5 mA 	 (0.52 / 0.60) 
180.	 95.2 	 C1 - 4.5 mA	 C0 - 2.5 mA 	 (0.51 / 0.00) 
181.	 95.2 	 C2 - 5.5 mA	 C2 - 3.5 mA 	 (0.79 / 0.39) 
182.	 95.2 	 C1 - 3.5 mA	 C3 - 2.0 mA 	 (0.54 / 0.69) 
183.	 95.2 	 C2 - 5.0 mA	 C2 - 3.5 mA 	 (0.81 / 0.39) 
184.	 95.1 	 C2 - 4.0 mA	 C2 - 4.0 mA 	 (0.86 / 0.39) 
185.	 95.1 	 C2 - 3.5 mA	 C2 - 4.5 mA 	 (0.88 / 0.39) 
186.	 95.1 	 C1 - 5.5 mA	 C1 - 3.5 mA 	 (0.50 / 0.13) 
187.	 95.0 	 C2 - 5.5 mA	 C0 - 4.5 mA 	 (0.79 / 0.02) 
188.	 95.0 	 C2 - 3.0 mA	 C2 - 5.0 mA 	 (0.91 / 0.39) 
189.	 95.0 	 C0 - 5.5 mA	 C2 - 5.5 mA 	 (0.22 / 0.39) 
190.	 94.9 	 C1 - 5.5 mA	 C2 - 1.5 mA 	 (0.50 / 0.35) 
191.	 94.9 	 C2 - 3.0 mA	 C0 - 3.5 mA 	 (0.91 / 0.01) 
192.	 94.9 	 C2 - 5.0 mA	 C0 - 4.5 mA 	 (0.81 / 0.02) 
193.	 94.9 	 C2 - 5.5 mA	 C3 - 3.0 mA 	 (0.79 / 0.66) 
194.	 94.8 	 C2 - 1.5 mA	 C0 - 1.5 mA 	 (0.98 / 0.00) 
195.	 94.8 	 C1 - 4.0 mA	 C3 - 3.5 mA 	 (0.52 / 0.65) 
196.	 94.8 	 C1 - 4.5 mA	 C1 - 4.5 mA 	 (0.51 / 0.15) 
197.	 94.8 	 C2 - 5.0 mA	 C3 - 3.0 mA 	 (0.81 / 0.66) 
198.	 94.8 	 C1 - 5.5 mA	 C0 - 4.5 mA 	 (0.50 / 0.02) 
199.	 94.8 	 C2 - 3.5 mA	 C0 - 3.5 mA 	 (0.88 / 0.01) 
200.	 94.7 	 C2 - 4.5 mA	 C0 - 4.0 mA 	 (0.84 / 0.02) 
201.	 94.7 	 C1 - 4.0 mA	 C3 - 5.0 mA 	 (0.52 / 0.61) 
202.	 94.7 	 C2 - 1.5 mA	 C0 - 2.0 mA 	 (0.98 / 0.00) 
203.	 94.7 	 C2 - 2.5 mA	 C3 - 2.0 mA 	 (0.93 / 0.69) 
204.	 94.6 	 C1 - 5.0 mA	 C2 - 2.0 mA 	 (0.51 / 0.37) 
205.	 94.6 	 C2 - 2.5 mA	 C2 - 5.5 mA 	 (0.93 / 0.39) 
206.	 94.5 	 C2 - 4.5 mA	 C2 - 3.5 mA 	 (0.84 / 0.39) 
207.	 94.5 	 C1 - 4.0 mA	 C1 - 5.0 mA 	 (0.52 / 0.17) 
208.	 94.4 	 C2 - 3.0 mA	 C2 - 4.5 mA 	 (0.91 / 0.39) 
209.	 94.4 	 C1 - 3.5 mA	 C3 - 2.5 mA 	 (0.54 / 0.67) 
210.	 94.4 	 C1 - 4.5 mA	 C0 - 3.0 mA 	 (0.51 / 0.00) 
211.	 94.4 	 C2 - 4.5 mA	 C1 - 4.0 mA 	 (0.84 / 0.14) 
212.	 94.4 	 C2 - 4.0 mA	 C1 - 4.5 mA 	 (0.86 / 0.15) 
213.	 94.4 	 C1 - 3.0 mA	 C2 - 5.5 mA 	 (0.55 / 0.39) 
214.	 94.3 	 C2 - 3.5 mA	 C3 - 2.5 mA 	 (0.88 / 0.67) 
215.	 94.2 	 C1 - 5.0 mA	 C0 - 4.0 mA 	 (0.51 / 0.02) 
216.	 94.2 	 C2 - 4.5 mA	 C3 - 3.0 mA 	 (0.84 / 0.66) 
217.	 94.2 	 C1 - 4.0 mA	 C3 - 4.0 mA 	 (0.52 / 0.64) 
218.	 94.0 	 C2 - 5.5 mA	 C2 - 3.0 mA 	 (0.79 / 0.39) 
219.	 94.0 	 C1 - 4.5 mA	 C2 - 2.5 mA 	 (0.51 / 0.38) 
220.	 93.9 	 C2 - 3.5 mA	 C2 - 4.0 mA 	 (0.88 / 0.39) 
221.	 93.9 	 C0 - 5.5 mA	 C2 - 5.0 mA 	 (0.22 / 0.39) 
222.	 93.9 	 C2 - 5.0 mA	 C2 - 3.0 mA 	 (0.81 / 0.39) 
223.	 93.9 	 C1 - 3.5 mA	 C2 - 4.0 mA 	 (0.54 / 0.39) 
224.	 93.9 	 C1 - 4.0 mA	 C3 - 4.5 mA 	 (0.52 / 0.63) 
225.	 93.8 	 C2 - 2.5 mA	 C2 - 5.0 mA 	 (0.93 / 0.39) 
226.	 93.8 	 C1 - 5.0 mA	 C1 - 3.5 mA 	 (0.51 / 0.13) 
227.	 93.8 	 C2 - 4.5 mA	 C0 - 4.5 mA 	 (0.84 / 0.02) 
228.	 93.7 	 C2 - 2.0 mA	 C3 - 1.5 mA 	 (0.96 / 0.72) 
229.	 93.7 	 C0 - 5.5 mA	 C3 - 1.5 mA 	 (0.22 / 0.72) 
230.	 93.7 	 C2 - 4.0 mA	 C0 - 4.0 mA 	 (0.86 / 0.02) 
231.	 93.6 	 C2 - 5.5 mA	 C1 - 3.5 mA 	 (0.79 / 0.13) 
232.	 93.6 	 C1 - 5.0 mA	 C2 - 1.5 mA 	 (0.51 / 0.35) 
233.	 93.6 	 C2 - 3.0 mA	 C3 - 2.5 mA 	 (0.91 / 0.67) 
234.	 93.6 	 C2 - 3.0 mA	 C1 - 4.5 mA 	 (0.91 / 0.15) 
235.	 93.6 	 C2 - 4.0 mA	 C2 - 3.5 mA 	 (0.86 / 0.39) 
236.	 93.6 	 C2 - 2.5 mA	 C1 - 4.5 mA 	 (0.93 / 0.15) 
237.	 93.5 	 C0 - 5.0 mA	 C2 - 5.5 mA 	 (0.22 / 0.39) 
238.	 93.5 	 C1 - 5.0 mA	 C0 - 4.5 mA 	 (0.51 / 0.02) 
239.	 93.5 	 C1 - 4.0 mA	 C0 - 1.5 mA 	 (0.52 / 0.00) 
240.	 93.5 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (0.52 / 0.00) 
241.	 93.5 	 C2 - 5.0 mA	 C1 - 3.5 mA 	 (0.81 / 0.13) 
242.	 93.4 	 C2 - 3.5 mA	 C1 - 4.5 mA 	 (0.88 / 0.15) 
243.	 93.4 	 C3 - 5.5 mA	 C0 - 1.5 mA 	 (0.95 / 0.00) 
244.	 93.4 	 C2 - 4.0 mA	 C3 - 3.0 mA 	 (0.86 / 0.66) 
245.	 93.3 	 C3 - 5.5 mA	 C0 - 2.0 mA 	 (0.95 / 0.00) 
246.	 93.3 	 C2 - 5.5 mA	 C3 - 5.5 mA 	 (0.79 / 0.60) 
247.	 93.3 	 C2 - 4.0 mA	 C1 - 4.0 mA 	 (0.86 / 0.14) 
248.	 93.3 	 C2 - 3.0 mA	 C2 - 4.0 mA 	 (0.91 / 0.39) 
249.	 93.3 	 C2 - 2.0 mA	 C1 - 5.5 mA 	 (0.96 / 0.18) 
250.	 93.3 	 C1 - 3.0 mA	 C2 - 5.0 mA 	 (0.55 / 0.39) 
251.	 93.3 	 C2 - 2.5 mA	 C2 - 4.5 mA 	 (0.93 / 0.39) 
