			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 80.4 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.78 / 0.78) 
no DIPSalt.settings found
-------------------------------------------
181.	 66.7 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (0.59 / 0.66) 
182.	 66.7 	 C1 - 3.0 mA	 C1 - 3.5 mA 	 (0.68 / 0.86) 
183.	 66.6 	 C1 - 3.5 mA	 C0 - 5.0 mA 	 (0.65 / 0.64) 
184.	 66.6 	 C0 - 4.5 mA	 C0 - 4.0 mA 	 (0.59 / 0.66) 
185.	 66.6 	 C0 - 3.5 mA	 C0 - 4.0 mA 	 (0.61 / 0.66) 
186.	 66.6 	 C1 - 3.5 mA	 C0 - 5.5 mA 	 (0.65 / 0.63) 
187.	 66.6 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (0.57 / 0.64) 
188.	 66.6 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (0.59 / 0.74) 
189.	 66.5 	 C0 - 4.0 mA	 C0 - 4.5 mA 	 (0.59 / 0.65) 
190.	 66.5 	 C0 - 5.5 mA	 C1 - 3.5 mA 	 (0.57 / 0.86) 
191.	 66.5 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (0.57 / 0.63) 
192.	 66.5 	 C0 - 4.5 mA	 C0 - 4.5 mA 	 (0.59 / 0.65) 
193.	 66.5 	 C1 - 2.0 mA	 C1 - 5.0 mA 	 (0.73 / 0.81) 
194.	 66.5 	 C0 - 3.5 mA	 C0 - 4.5 mA 	 (0.61 / 0.65) 
195.	 66.4 	 C1 - 4.0 mA	 C0 - 4.0 mA 	 (0.63 / 0.66) 
196.	 66.4 	 C0 - 5.0 mA	 C1 - 4.0 mA 	 (0.57 / 0.84) 
197.	 66.3 	 C1 - 3.5 mA	 C1 - 4.0 mA 	 (0.65 / 0.84) 
198.	 66.3 	 C1 - 3.0 mA	 C1 - 4.5 mA 	 (0.68 / 0.83) 
199.	 66.3 	 C3 - 2.0 mA	 C1 - 5.5 mA 	 (0.01 / 0.80) 
200.	 66.3 	 C1 - 4.0 mA	 C0 - 4.5 mA 	 (0.63 / 0.65) 
201.	 66.3 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (0.59 / 0.71) 
202.	 66.2 	 C0 - 5.5 mA	 C1 - 4.5 mA 	 (0.57 / 0.83) 
203.	 66.2 	 C0 - 3.0 mA	 C0 - 4.0 mA 	 (0.62 / 0.66) 
204.	 66.2 	 C0 - 4.0 mA	 C0 - 5.0 mA 	 (0.59 / 0.64) 
205.	 66.2 	 C0 - 4.5 mA	 C0 - 5.0 mA 	 (0.59 / 0.64) 
206.	 66.1 	 C0 - 4.0 mA	 C0 - 5.5 mA 	 (0.59 / 0.63) 
207.	 66.1 	 C0 - 4.5 mA	 C0 - 5.5 mA 	 (0.59 / 0.63) 
208.	 66.1 	 C0 - 3.5 mA	 C0 - 5.0 mA 	 (0.61 / 0.64) 
209.	 66.1 	 C0 - 5.0 mA	 C1 - 3.5 mA 	 (0.57 / 0.86) 
210.	 66.1 	 C1 - 4.5 mA	 C0 - 3.5 mA 	 (0.61 / 0.68) 
211.	 66.1 	 C0 - 3.0 mA	 C0 - 4.5 mA 	 (0.62 / 0.65) 
212.	 66.1 	 C0 - 3.5 mA	 C0 - 5.5 mA 	 (0.61 / 0.63) 
213.	 66.0 	 C0 - 2.5 mA	 C0 - 3.5 mA 	 (0.62 / 0.68) 
214.	 66.0 	 C0 - 4.0 mA	 C1 - 4.0 mA 	 (0.59 / 0.84) 
215.	 66.0 	 C1 - 3.5 mA	 C1 - 3.5 mA 	 (0.65 / 0.86) 
216.	 66.0 	 C1 - 4.0 mA	 C0 - 5.0 mA 	 (0.63 / 0.64) 
217.	 66.0 	 C0 - 4.5 mA	 C1 - 4.0 mA 	 (0.59 / 0.84) 
218.	 65.9 	 C1 - 4.0 mA	 C0 - 5.5 mA 	 (0.63 / 0.63) 
219.	 65.9 	 C1 - 2.0 mA	 C1 - 5.5 mA 	 (0.73 / 0.80) 
220.	 65.9 	 C1 - 1.5 mA	 C2 - 1.5 mA 	 (0.78 / 1.00) 
221.	 65.9 	 C0 - 3.5 mA	 C1 - 4.0 mA 	 (0.61 / 0.84) 
222.	 65.8 	 C0 - 5.0 mA	 C1 - 4.5 mA 	 (0.57 / 0.83) 
223.	 65.8 	 C1 - 5.0 mA	 C0 - 1.5 mA 	 (0.59 / 0.78) 
224.	 65.7 	 C3 - 3.5 mA	 C0 - 4.0 mA 	 (0.06 / 0.66) 
225.	 65.7 	 C1 - 3.5 mA	 C1 - 4.5 mA 	 (0.65 / 0.83) 
226.	 65.7 	 C0 - 3.0 mA	 C0 - 5.0 mA 	 (0.62 / 0.64) 
227.	 65.7 	 C0 - 3.0 mA	 C0 - 5.5 mA 	 (0.62 / 0.63) 
228.	 65.7 	 C0 - 5.5 mA	 C1 - 3.0 mA 	 (0.57 / 0.89) 
229.	 65.6 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (0.07 / 0.70) 
230.	 65.6 	 C0 - 4.0 mA	 C1 - 3.5 mA 	 (0.59 / 0.86) 
231.	 65.6 	 C0 - 4.5 mA	 C1 - 3.5 mA 	 (0.59 / 0.86) 
232.	 65.6 	 C1 - 4.0 mA	 C1 - 4.0 mA 	 (0.63 / 0.84) 
233.	 65.6 	 C1 - 3.0 mA	 C1 - 3.0 mA 	 (0.68 / 0.89) 
234.	 65.6 	 C3 - 3.5 mA	 C1 - 4.0 mA 	 (0.06 / 0.84) 
235.	 65.5 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (0.59 / 0.70) 
236.	 65.5 	 C3 - 3.5 mA	 C0 - 4.5 mA 	 (0.06 / 0.65) 
237.	 65.5 	 C1 - 4.5 mA	 C0 - 4.0 mA 	 (0.61 / 0.66) 
238.	 65.5 	 C0 - 1.5 mA	 C0 - 3.5 mA 	 (0.66 / 0.68) 
239.	 65.5 	 C0 - 3.0 mA	 C1 - 4.0 mA 	 (0.62 / 0.84) 
240.	 65.5 	 C0 - 3.5 mA	 C1 - 3.5 mA 	 (0.61 / 0.86) 
241.	 65.4 	 C1 - 4.5 mA	 C0 - 4.5 mA 	 (0.61 / 0.65) 
242.	 65.4 	 C3 - 2.5 mA	 C1 - 5.0 mA 	 (0.03 / 0.81) 
243.	 65.4 	 C0 - 4.0 mA	 C1 - 4.5 mA 	 (0.59 / 0.83) 
244.	 65.4 	 C0 - 4.5 mA	 C1 - 4.5 mA 	 (0.59 / 0.83) 
245.	 65.3 	 C2 - 1.5 mA	 C0 - 2.0 mA 	 (0.44 / 0.74) 
246.	 65.3 	 C0 - 2.5 mA	 C0 - 4.0 mA 	 (0.62 / 0.66) 
247.	 65.2 	 C0 - 3.5 mA	 C1 - 4.5 mA 	 (0.61 / 0.83) 
